NOME DA BASE: Atendimento de Diagnóstico por Imagem,Unnamed: 1
DESCRIÇÃO DA BASE: Relação de Exames de Diagnósticos por Imagem,
PERÍODO DE REFERÊNCIA: Ano de 2023,
,
Relação de Exames de Diagnósticos por Imagem realizados no Huol em 2023,
BIOPSIA DE PROSTATA,
BRONCOSCOPIA (BRONCOFIBROSCOPIA),
COLONOSCOPIA (COLOSCOPIA),
DENSITOMETRIA OSSEA DUO ENERGETICA,
DIAGNÓSTICO POR RADIOLOGIA (EXAMES DE DIAGNÓSTICO POR RADIOLOGIA (EXAMES DE RAIO X)),
DIAGNÓSTICO POR RESSONÂNCIA MAGNÉTICA,
DIAGNÓSTICO POR TOMOGRAFIA,
DILATAÇÃO DE ESÔFAGO C/ OGIVAS SOB VISÃO ENDOSCÓPICA,
ECOCARDIOGRAFIA DE STRESS (NOVO),
ECOCARDIOGRAFIA TRANSESOFÁGICA,
ECOCARDIOGRAFIA TRANSTORACICA,
ELETROENCEFALOGRAMA EM VIGILIA E SONO ESPONTANEO,
ELETRONEUROMIOGRAMA,
ESOFAGOGASTRODUODENOSCOPIA (EDA) ENDOSCOPIA DIGESTIVA ALTA,
MONITORAMENTO AMBULATORIAL DE PRESSÃO ARTERIAL (MAPA),
MONITORAMENTO PELO SISTEMA HOLTER 24 HS (3 CANAIS),
PROVA DE F. PULM. COMPLETA C/ BRONCODILATADOR(ESPIROMETRIA),
PUNÇÃO / BIOPSIA DE TIREÓIDE OU PARATIREÓIDE,
PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA,
PUNÇÃO LOMBAR,
RETIRADA DE CORPO ESTRANHO /POLIPOS DO RETO /COLO SIGMÓIDE,
RETIRADA DE POLIPO DE TUBO DIGESTIVO POR ENDOSCOPIA,
TESTE DE ESFORCO / TESTE ERGOMETRICO,
TRAT. ESCLEROSANTE/LIG. ELÁSTICA DE LESÃO HEMORRÁGICA DO APARELHO DIGESTIVO,
ULTRA-SONOGRAFIA DOPPLER COLORIDO DE VASOS ( ATE 3 VASOS),
ULTRASSONOGRAFIA GERAL,
ERGOESPIROMETRIA,
TESTE DE CAMINHADA,
GLITTRE TEST,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
TESTE DE CAMINHADA,
GLITTRE TEST,
