Nome da base de dados,Descrição da base,2024,Unnamed: 3
"""Patrimônio Genético Nacional"" que foram envolvidos em pesquisas realizadas na UFAM por ano","Relação das espécies do ""Patrimônio Genético Nacional"" que foram envolvidas em pesquisas realizadas na UFAM por ano",Espécies,Nome comum
,,Piper marginatum,"Capeba, malvarisco, pimenta-do-mato, capeba-cheirosa"
,,Mansoa alliacea,Cipó-alho
,,Copaifera Langsdorffii ,"Copaíba, óleo-de-copaíba, copaibeira-de-minas, óleo vermelho e pau-de-óleo"
,,Plasmodium Berghei,Parasita que causa a malária
,,Bertholletia excelsa,Castanha-do-Brasil ou Castanha-do-Pará
,,Euterpe oleracea mart.,Açaí
,,Myrciaria dubia ,Camu-camu
,,Paullinia cupana,Guaraná
,,Brycon amazonicus,Matrinxâ
,,Astyanax altiparanae,Lambari-tambiú
,,Bacillus licheniformis,Bactéria
,,Aspergilus awamori,Fungo
,,Pichia pastoris,Levedura
,,Manihot esculenta ,"Mandioca, aipim"
,,Aniba rosiodora,pau-rosa
,,Cenostigma tocantinum,Pau-pretinho
,,Oreochromis niloticus,Tilápia-do-nilo / espécie introduzida
,,Eugenia stipitata,Araça-boi
,,Solanum sessiflorum,Cubiu
,,Spondias tuberosa,Umbu
,,Passiflora cincinnata,Maracujá da caatinga
,,Rattus norvegicus teste de efeitos (cannabis sativa),Ratazana
,,Total,22
